sichuanese,english,matched_keywords,n_content,pred_deepseek,pred_glm4plus,preference
也方便给娃娃洗澡我们两个卫生间大概都有将近十平那确实很大啊,It's also convenient for bathing the kids. Our two bathrooms are both around 10 square meters each. That's genuinely big!,确实,1,It’s also convenient for bathing the kids. Both of our bathrooms are about nearly ten square meters each. That’s really spacious!,It's also convenient for bathing the baby. Our two bathrooms are each nearly 10 square meters—that's really spacious!,tie-good
但是它确实发生过了否则你就不会体验到这种美好,But it indeed happened. Otherwise you wouldn't have experienced this kind of happiness.,确实,1,"But it really happened, otherwise you wouldn’t have experienced such beauty.","But it really did happen, otherwise you wouldn't be experiencing this beauty.",g
老子跟你说戴安全帽也不安全你,"I'm telling you even wearing a hard hat ain't completely safe, you...",老子,1,"I'm telling you, even wearing a hard hat ain't safe.","I'm telling you, even with a hard hat on, you're not safe.",d
好天呐还不好安逸呀说像一点俺两个钻戒给我,"Oh my god this is so beautiful! If you know what's good for you, hand over my two diamond rings!",安逸,1,"What a wonderful day! Isn't it just so comfortable? Come on, say something like that—give me a couple of diamond rings for the two of us.","The weather is so nice, it's so comfortable. It's like my two diamond rings are giving me a compliment.",tie-bad
是不是好巴适嘎没想到你长那么大了还第一次吃,Isn't it so delicious? I didn't expect that you're eating this for the first time at this age.,巴适,1,Isn't it just so nice? Never thought you'd be eating this for the first time at your age.,So comfortable! I can't believe you're all grown up and this is your first time trying it.,d
也很安逸造型也很巴适是不是一道变废为宝,"It's very comfy, and the design is also really stylish. Isn't this turning trash into treasure?",安逸|巴适,2,"It's also very cozy, and the design is really on point. Isn't this a perfect example of turning waste into treasure?","It's so cozy, the styling is just perfect. A true example of turning trash into treasure, isn't it?",g
今年确实减产了起码减产了,We definitely produced less this year. Down by at least...,确实,1,This year's yield really dropped — dropped by at least half.,The production has definitely dropped this year—at least by a significant amount.,tie-bad
砍砍砍那都是我婆娘跟我吵个架回娘家住了一个星期了,"Oh, bloody hell... don't even get me started. My wife had a fight with me and went back to her parents' place. She's been away for a whole week now!",婆娘,1,"Beat, beat, beat—that's all because my wife and I had a fight, and she's been staying at her mother's house for a week now.",All that fussing and fighting—that's 'cause my wife stormed off to her mom's place after we had a fight and she's been there for a whole week now.,tie-bad
买了娃儿读书没得问题可以搞摘就整下一个摘橘子大渡口康田西塘观月咋个样圆圆老表山外青山楼外楼买了嘞些位置你愁不愁,"Once you buy it, kid's schooling is totally sorted, you can just lock it in! Alright, let's move to the next one! What about Kangtian Xitang Guanyue in Dadukou? My brother Yuanyuan! You know what they say: 'Beyond hills, more hills; beyond towers, more towers.' If you buy into thoses trap locations, you’re bound to get anxious!",咋个|老表,2,"Once the kid's school situation is sorted, no problem — just move on to the next one. Picking oranges, Dukou, Kangtian Xitang, Guanyue — how about that? Round and round, cousin. Beyond the hills there are more hills, beyond the towers there are more towers. With all those places you've bought, are you worried or not?","If the kid's school situation is all sorted out, we can move on to the next big plan—picking oranges at Dadukou, Kangtian, Xitang, and Guanyue. How does that sound? ""Round Round"" cousin, ""Mountains beyond mountains, pavilions beyond pavilions."" With all these spots we've bought, are you feeling the pressure or what?",tie-bad
至于说为啥子后来这个两头王又成了夫妻肺片儿了,As for the reason why 'Liangtouwang' was eventually renamed to 'Couples' Lung Slices'...,啥子,1,"As for why this ""double-headed king"" later became known as ""couple's lung slices"" (fuqi feipian),",As for why the 'Two Kings' later became 'Sliced Beef and Ox Tongue in Chili Sauce'.,d
这种宽阔的改善房逐渐是安逸,This kind of spacious upgraded apartment are gradually becoming comfortable.,安逸,1,"This kind of spacious, upgraded home is gradually becoming quite comfortable and pleasant.","Spacious, well-renovated apartments are becoming increasingly comfortable and desirable.",d
安逸不只是我们都吃完了你才醒红烧也没吃成呀他不起来,"Isn't that nice? But you only woke up after we finished everything. If you hadn't stayed in bed, you would have gotten to try the stew.",安逸,1,The comfort doesn't just mean you wake up after we've all finished eating. We didn't even get to have the braised pork. And he won't get up.,"It's not just that you woke up only after we had all finished eating, you didn't even get to try the braised dish because he wouldn't get up.",tie-bad
应该是本月本月才在维权维权还维的很凶你去详细了解一下行不行老表那种房子尽量不要去考虑,"It should be just this month, they just started a massive protest to defend their rights this month, and it's getting really ugly! Go look into the details, alright, my brother? You should stay as far away from that kind of property as possible!",老表,1,"It should be this month, just this month—they've been protesting, and protesting hard. Go look into the details, alright, bro? As for that kind of house, better not even consider it.",You should really look into it more carefully. The owner has been aggressively fighting for their rights this month. I'd suggest you avoid that kind of property if possible.,d
哦这是啥子黄辣根儿,"Oh, what is this? Horseradish?",啥子|哦(语气词),1,"Oh, what's this? Yellow chili root?",What on earth is this yellow horseradish?,g
这个龟儿子到底是咋个来的呢据说哈他最早是出现在这个,"Where did the 'Gui Er Zi' come from? Word is, it first appeared...",咋个|龟儿子|哈(语气词),2,"Where the hell did this 'gui'er' come from? Supposedly, it first showed up around...","The hell did this guy even come from? Word is, he first showed up at this...",tie-bad
你说给人家感觉咋个解释啊,"Tell me, how is that gonna look to other people?",咋个,1,How do you explain the impression you give to others?,How would you explain that to make them feel good about it?,tie-bad
在汴梁长期出丑的瓜娃子五代十国确实黑暗但是蜀地有点特殊,"That silly idiot kept making a fool of himself in Bianliang for a long time... The Five Dynasties and Ten Kingdoms period was indeed dark, but the Shu region (Sichuan) was a bit of a special case.",确实|瓜娃子,2,"The clumsy fool who made a fool of himself in Bianliang for a long time—the Five Dynasties and Ten Kingdoms period was indeed dark, but the Shu region was somewhat special.","A silly fool who keeps making a fool of himself in Bianjing. The Five Dynasties and Ten Kingdoms period was indeed dark, but Shu had its own special circumstances.",d
哇看下嘞个米巴不巴适插两个洞洞,"Wow, check out this rice! Just poke two fingers in to feel the comfort.",巴适,1,"Wow, check out this rice cake—isn't it perfect? Just poke two holes in it.","Wow, check out this neat little thing, isn't it nice with two holes?",tie-bad
然后周围很多地方就是脏兮兮的脏兮兮的烂渣渣的那种感觉包括每次如果说你开车走到那个啥子,"And the surrounding area is just so filthy and run-down, totally trashy vibe. Plus, every time you drive by that...",啥子,1,"And then a lot of the surrounding areas just feel all dirty, grimy, and rundown—like a total mess. Even when you're driving around, you know, heading somewhere or other, it’s the same kind of thing.","And then a lot of the surrounding areas just have that grimy, trashy, run-down feeling. I'm talking about every time you're driving down that certain road...",d
那两个不说的天老两口的耶还给老子舔过了,"Those two are the worst. Heavens, they freaking licked it.",老子,1,"Those two damn old folks didn't say a word, and they even licked it for me, dammit.",Those two old geezers who never shut up even licked me off.,tie-bad
被何探长否决或说你找个人来冒名顶替那个家伙不是炮哥进去以后大型以上肯定会拉稀摆带要不得要不得哎哎这个婆娘一个人喝醉有没有啥子哦哎我要出去看哈,"It was rejected by Detective He. He suggested that you find a scapegoat to take the fall. Once Brother Pao gets in and a major crisis hits, he’s bound to chicken out and snitch...no way, that absolutely won't work! Wait, wait... is that woman gonna be okay drinking by herself like that? Hey, I need to go out and check on her",婆娘|啥子|哈(语气词)|哦(语气词),2,"Being rejected by Detective He, or if you say you find someone to impersonate that guy—if it’s not Brother Pao who goes in, once things get serious, he’ll definitely chicken out and mess up. No way, no way. Hey hey, is this woman drinking alone okay? Hey, I’m gonna go check it out.","If Inspector He rejects it or tells you to find someone to impersonate that guy, it's a terrible idea. Once that guy gets inside, he'll definitely snitch and cause a lot of trouble. Absolutely not. Hey, what about that woman drinking alone? Is that okay? Hey, I'm going to go check it out.",tie-bad
应该安逸行慢慢的茶香啊这个是,"That sould be okay. Alright, the tea fragrant is so relaxing.",安逸,1,"It should be that cozy, lingering tea fragrance, ah, this is it.",The slow-brewed tea is so fragrant and relaxing.,tie-bad
我二十多岁应该叫少妇噻是不是嘛所以说那个妇女节跟我有啥子关系嘛我明明就是个少妇,"I’m only in my twenties. Technically, I’m a 'milf-in-training' or a young bride, right? So why should I care about International Women's Day? I’m literally just a young wifey!",啥子|噻|嘛(语气词),1,"I'm in my twenties, so I should be called a ""young married woman,"" right? So, what does Women's Day have to do with me? I'm clearly a young married woman.","A woman in her twenties should be called a young wife, right? So what does Women's Day have to do with me? I'm clearly a young wife.",g
我跟你爸说哈你豁老子我把我老爸子锁在屋头都锁了一个礼拜了,"I told your dad, you're lying to me. I've locked my father in the house for a week.",老子|哈(语气词),1,I told your dad — you're lying to me. I've had my old man locked up in the house for a whole week already.,"I told your dad, you're really testing my patience. I've had my own father locked up in the house for a whole week now.",d
都满足不了需求每一家都是排着非常长的长龙吃完那个安逸的老长沙口味虾,"Demand is through the roof. Every single restaurant has massive, never-ending lines. After finishing that incredibly satisfying, authentic Changsha spicy crayfish...",安逸,1,"Every shop has a line stretching way down the street — they just can't keep up with the demand. After devouring that satisfying old-school Changsha-style crawfish, it's pure bliss.","None of them could meet the demand as every place had incredibly long lines. But after finally eating that satisfying, authentic old Changsha-style flavor crayfish, it was all worth it.",g
相对而言有规律上班你到哪个时候该回去是咋个的,The work schedule is relatively regular. When it's time fo you to go...,咋个,1,"Relatively speaking, with a regular work schedule, how do you figure out when it's time for you to go back home?","Compared to other jobs, working regular hours means you know exactly when you're supposed to go home.",g
要那个羊肚菌感受哇硬是今天给梦死去了的,The morel is exactly what I wanted. It feels like a dreamcome true today.,硬是,1,Want that morel mushroom experience? It's really like a dream come true today!,"The more I think about that morel, the more it feels like it was a dream come true today.",g
好安逸啊那碗螺蛳粉我就问你们想不想吃啊,"That bowl of snail rice noodles is so delicious. I'm asaking you guys, do you want some?",安逸,1,"How delightful that bowl of snail noodles is! I'm asking you all, don't you wanna eat it?","That bowl of luosifen looks so incredibly comforting. I'm just asking you all, doesn't it make you want to eat it?",tie-good
这冒犯是啥子哦看到没有他这儿是六点十分开门还要开到凌晨四点钟开到二十四点,"What the heck is going on here? See that? It says they open at 6:10, and then they close at 4 in the morning?",啥子|哦(语气词),1,"What the hell is this offense? Look, right here, it says it opens at 6:10 PM and stays open until 4:00 AM, running through midnight.",Can you believe this? They open at 6:10 AM and don't close until 4 AM the next day—that's 24 hours straight!,tie-bad
就是你们家的餐厅刚刚业主也在说因为家里面住的人确实太少了就只留了三把椅子原本那是一个不,"Speaking of the dining room, the owner said they only kept three chairs because their family is so small. Originally, it was not a...",确实,1,"Just now, the owner of your family's restaurant was also saying that since there really aren't many people living in the house, they only kept three chairs. Originally, that spot wasn't even...","Just now, the property owner was also mentioning that your family has so few people living there that they only left three chairs. Originally, it was a...",tie-good
哎呀给老子坐车不远啊你,"Oh, come on, just get in the damn car! It's far away!",老子,1,"Oh man, it's not far for me to take the bus, you know.","Hey, it's not far for me to take the car and pick you up.",tie-bad
味道巴适做法简单美味不油腻可以多吃几碗饭,"The flavor is spot on, and it’s so easy to make. It's delicious but not heavy at all, making it the ultimate rice-killer!",巴适,1,"The flavor is spot on, the recipe is simple, delicious without being greasy, and you can easily have a few extra bowls of rice.","Tastes great, is easy to make, delicious and not greasy, makes you want to have extra bowls of rice.",d
好切好了我们拿去给炒嘎嘎了哈锅里面倒点油啊,"Alright, all chopped up! Now we're gonna throw it in the pan to cook up this meat! Let’s pour some oil into the wok.",嘎嘎|哈(语气词),1,"Alright, it's ready. Let's take it to fry the meat, okay? Pour some oil into the wok.","Alright, it's all chopped up. Let's take it to get stir-fried. Pour some oil in the wok first.",tie-bad
比那肯定安逸些因为现象骨头都没见骨头是你来的,This is definitely better! Because you don't even see the bones yet. Bones are what you came for...,安逸,1,"Of course, that's definitely more comfortable than that one. There's basically no bone to be seen—the bone is something you brought with you.",It's definitely more comfortable because I haven't even seen a bone yet. The bone is you coming.,tie-bad
肯定不会是我好巴适哦真的是我哦,"Definitely not me. It's so comfortable... Oh, it's really me!",巴适|哦(语气词),1,"It definitely can't be me, so comfortable. Oh, it really is me.","Definitely not me, it feels so good, and it's really me!",g
长身体的小朋友老人还有啥子做了手术的亲戚朋友,"Whether it’s growing kids, the elderly, or friends and relatives who just had surgery.",啥子,1,"Growing kids, elderly folks, and any friends or relatives who've had surgery.","Children who are still growing, the elderly, and relatives and friends who have had surgery.",d
走过路过千万不要错过今天用一条草鱼来做一个江湖汗蒸鱼这个味道巴适我来操作你来评说将草鱼从背部改刀清洗干净之后哈我们在背面跟他打上花刀方便入味儿,"Step right up, don't miss out! Today, we’re using a grass carp to make a 'Jianghu-Style Steamed Fish.' The flavor is absolutely heavenly! I’ll do the cooking, and you be the judge. First, butterfly the carp from the back, wash it thoroughly, and then score the back with diamond cuts so the flavors can sink right in!",巴适|哈(语气词),1,"Don't let this slip by! Today, I'm making a riverside steamed fish with a grass carp—trust me, it's legit. I'll handle the cooking, you handle the judging. After cleaning the fish and scoring its back, we'll cut crisscross patterns on it to let the flavor soak in.","Don't miss out today as I make a ""Jianghu Steamed Fish"" with a grass carp. This is going to be delicious! I'll do the cooking, and you be the judge. First, I'll score the cleaned grass carp along its back to help it absorb all the flavors.",d
等通知重点是啥子呢还没有过你说嘛搞那么复杂做啥子嘛,Just waiting for the notice? Wat is even the point here? It hasn't even cleared yet! Why are you making it so damn complicated?,啥子|嘛(语气词),1,"Wait for the notice. What's the main point? It hasn't passed yet. Just tell me, why make it so complicated?","The main point is that we haven't heard back yet, so why make it so complicated?",tie-bad
好吃安逸巴适牛肉今天是烧耙了的因为刘德,So delicious and satisfying! The beef is incredibly tender today because of Liu De.,安逸|巴适,2,"The beef is absolutely delicious, tender, and satisfying—today it's been slow-cooked until soft, thanks to Liu De.",The beef was so delicious and satisfying today because it was cooked just right by Liu De.,d
很巴适的第六个菜就是个水煮雪花牛肉,"The sixth dish, which is so delicious, is Poached Marbled Beef in Hot Chili Oil.",巴适,1,"The sixth dish, which is very satisfying, is just boiled snowflake beef.",The sixth dish was a wonderfully satisfying boiled snow beef.,tie-bad
遇到你那么个猪队友下回做活路哪个龟儿子再喊你,"I can't believe I got stuck with a trash teammate like you! Next time we have a job to do, I'll be damned if anyone ever calls you again!",龟儿子,1,"Running into a teammate as useless as you—next time we’re working, who the hell would even call you?","I'm not working with another useless teammate like you again—next time anyone asks, I'm out.",tie-bad
不晓得为啥子可能是直觉吧我总觉得那个宋玉德有问题曲珍拿起笔记本对吴东国说,"I don't know, maybe it's intuition. I always thought Song Yude was suspicious."" Qu Zhen turned to Wu Dongguo with her notebook and said.",啥子,1,"""I don't know why, maybe it's just intuition, but I always feel that Song Yude has a problem."" Qu Zhen picked up the notebook and said to Wu Dongguo.","I don't know why, maybe it's just intuition, but I have a feeling that Song Yude is shady. Qu Zhen picked up her notebook and said to Wu Dongguo.",d
你硬是看到火就发红了这个找人家见面第一句话打招呼是,"You really rush in the second you see a spark. So, what's supposed to be the very first icebreaker when you two actually meet? ",硬是,1,"You really get all fired up the moment you see a spark, huh? And that opening line when meeting someone for the first time—what's the greeting?","You really jump straight to the point, don't you? The very first thing you say when meeting someone is...",d
还是白漉漉的自己肯定安逸我还是不要把尾巴甩了我想办法把那个小吃,"It looks so perfectly pale and juicy, it's gonna taste amazing for myself! I shouldn't spoil my appetite though. I need figure a way out for the snack...",安逸,1,Still being clean and carefree myself is definitely comfortable. I'd better not show off or act cocky. I'll try to get that snack somehow.,It's probably better to just do it myself. I'll figure out a way to get that snack.,tie-bad
这个水还是多安逸的,This water is still very comfy.,安逸,1,This water is quite comfortable.,This water feels so nice and comfortable.,tie-good
你就会说管我锤子事老子只有一套房子又不得卖涨也好跌也罢,All you gonna say is: who gives a crap? I’ve got exactly one property to my name and it’s not for sale. It can double in price or drop to zero for all I care!,老子,1,"You just keep saying, ""None of my damn business,"" but I only have one house and I'm not selling it. Whether it goes up or down, it doesn’t matter.","You just mind your own damn business. I only have one house and I'm not selling it, so whether prices go up or down, it's none of my concern.",d
确实是很实惠的而且这个房子是双位如果你对我们的房子感兴趣对价格也满意你可以在评论区留言或关注我我带大家实地看现场,"It really is a great deal, and this place comes with double bathrooms! If you’re interested in our property and happy with the price, feel free to drop a comment below or follow me. I’d love to take you all on a live, on-site tour!",确实,1,"Indeed, it's very reasonably priced, and this house has two units. If you're interested in our property and satisfied with the price, feel free to leave a comment or follow me. I'll take you to see it on-site.","It's really a great deal, and this is a two-bedroom apartment. If you're interested in our place and the price works for you, feel free to leave a comment in the section below or follow me, and I'll take you for an in-person tour.",tie-bad
所以这个妖精麻将的可变空间确实太大了就看你是啥子思路,"So, the room for variation in this 'Yaojing Mahjong' is honestly massive. It really just comes down to what your overall strategy is.",确实|啥子,2,So the flexibility of this tricky mahjong game is indeed too huge—it all depends on your strategy.,The variable space in this variant of Mahjong is incredibly large; it all depends on your approach.,d
看样儿着得住有点来不及了直接睡到地上哎呀你个球队确实有点穷连单价都买不起,"Looks like they couldn't hold on, so they just slept right on the floor. Jeez, this team is so poor that they can't even afford a single room.",确实,1,"It looks like we’re running out of time, so just sleep on the floor. Damn, your team is really broke—can’t even afford a sheet.","Looks like it's too late to make it, just gonna crash on the floor. Damn, your team is seriously broke, can't even afford a single unit.",g
它存在短路现象啥子叫短路现象呢就是当我们运算时,"So, it exhibits a short-circuit phenomenon. What exactly is short-circuit evaluation? Well, it means that when we are executing",啥子,1,It has a short circuit phenomenon. What is a short circuit phenomenon? It means that when we are computing...,It has a short-circuit phenomenon. What is a short-circuit phenomenon? It's when we're performing operations...,tie-bad
他愿意退愿意退车让你亏三万块钱因为那个车确实我本来在,"He agreed to let you return the car, but you're gonna be down thirty grand. Regarding that car, I was actually...",确实,1,"He's willing to accept a refund for the car and let you take a loss of 30,000 yuan, because honestly, that car was originally...","He's willing to let you take a loss of 30,000 yuan on the car because... well, the car was originally mine to begin with.",d
谢谢大家了味道硬是安逸得很明天咋子欢迎大家在评论区留言哈,"Thank you so much, everyone! The flavor was honestly pure perfection! What should we do for tomorrow? Let me know in the comments section below!",硬是|安逸|哈(语气词),2,"Thank you all, the taste is truly amazing. What about tomorrow? Feel free to leave your comments below.","Thanks everyone, the food was absolutely amazing! Feel free to leave a comment in the section below about what you'd like to have tomorrow.",d
还好对家还在扯童子出来我这同情应该是没得啥子问题了,"Thankfully, my opposite player is still dumping Circles. At this rate, there shouldn't be any problem for my 'Full Flush of Circles' to win!",啥子,1,"Fortunately, the opponent is still pulling some childish stunt, so my sympathy here should be no problem at all.","Fortunately, my opponent is still bringing up that childish nonsense, so my sympathy should be pretty solid.",tie-bad
这种花草滋润这个叫啥子狗牙根耐猜的那个肥牛羊狗,"This grass is growing so lush and healthy. It’s called Dog's Tooth grass. It's super wear-tolerant, and it’s great for feeding cows, sheep, and dogs!",啥子,1,"This kind of plant nourishes what is called Bermuda grass, which is tough enough to withstand grazing by cattle, sheep, and dogs.","This type of grass, which is called Bermuda grass or cynodon dactylon, is so nutritious it could make any livestock fat.",tie-good
下一位下一位老表宗教城那么搞中教城盘龙那个地方啊我买起我心头都发慌价格贵得抠看还不说,"Next, next! Man, that 'Zhongjiao City' over in the Panlong area? Buying a place there would honestly give me a panic attack! The price is insanely extortionate, and that's not even...",老表,1,"Next one, next one, bro. Over at the Religious Town area, that place over there—Zhongjiao City, Panlong—just thinking about buying there makes my heart race. The prices are sky-high, and that's not even mentioning the quality.","Next in line, next in line! That Religious City place? Or the one in Panlong? Man, even just thinking about buying something there makes my heart race. The prices are ridiculously expensive, and that's not even mentioning the poor quality.",tie-bad
那个房子的话确实它是一个一梯两户南北通透的户型哈,"This apartment is definitely a premium layout with one elevator serving just two units, with north-south cross ventilation.",确实|哈(语气词),1,"As for that house, it's indeed a unit with one elevator serving two households, and it has a north-south through layout.","That apartment is indeed a well-designed unit with two apartments per floor, featuring north-south transparency for optimal airflow and light.",d
智慧改变人生不过我现在那一个小担心那些贼娃子以前偷钱偷张卡就对了以后是不是要直接,"Smart tech really changes lives. But I do have this one tiny worry: back in the day, those little pickpockets were happy just stealing some cash or a card. In the future, are they gonna have to...",贼娃子,1,"Wisdom changes life. But right now, I've got this little worry—those thieves used to just steal cash or a card, but now, are they gonna start taking people directly?","Smart choices can change your life, but right now I've got this small worry: back then, those thieves only stole cash and cards. I'm just wondering if they're going to start going for bigger things now.",tie-bad
