sichuanese,english,matched_keywords,n_content,GLM-4-Plus_pred,GLM-4-Plus_refusal,GLM-4-Plus_BLEU,GLM-4-Plus_chrF,GLM-4-Plus_COMET,DeepSeek-V4-Flash_pred,DeepSeek-V4-Flash_refusal,DeepSeek-V4-Flash_BLEU,DeepSeek-V4-Flash_chrF,DeepSeek-V4-Flash_COMET
好天呐还不好安逸呀说像一点俺两个钻戒给我,"Oh my god this is so beautiful! If you know what's good for you, hand over my two diamond rings!",安逸,1,"The weather is so nice, it's so comfortable. It's like my two diamond rings are giving me a compliment.",False,12.7703,30.5241,59.2774,"What a wonderful day! Isn't it just so comfortable? Come on, say something like that—give me a couple of diamond rings for the two of us.",False,3.3962,28.3565,59.9792
是不是好巴适嘎没想到你长那么大了还第一次吃,Isn't it so delicious? I didn't expect that you're eating this for the first time at this age.,巴适,1,So comfortable! I can't believe you're all grown up and this is your first time trying it.,True,5.2541,27.7171,58.4756,Isn't it just so nice? Never thought you'd be eating this for the first time at your age.,False,36.5712,52.493,81.4887
也很安逸造型也很巴适是不是一道变废为宝,"It's very comfy, and the design is also really stylish. Isn't this turning trash into treasure?",安逸|巴适,2,"It's so cozy, the styling is just perfect. A true example of turning trash into treasure, isn't it?",False,13.5966,43.0421,77.9036,"It's also very cozy, and the design is really on point. Isn't this a perfect example of turning waste into treasure?",False,26.6169,60.3345,82.6983
今年确实减产了起码减产了,We definitely produced less this year. Down by at least...,确实,1,The production has definitely dropped this year—at least by a significant amount.,False,4.2772,45.749,83.1233,This year's yield really dropped — dropped by at least half.,False,11.4664,31.8434,72.0836
砍砍砍那都是我婆娘跟我吵个架回娘家住了一个星期了,"Oh, bloody hell... don't even get me started. My wife had a fight with me and went back to her parents' place. She's been away for a whole week now!",婆娘,1,All that fussing and fighting—that's 'cause my wife stormed off to her mom's place after we had a fight and she's been there for a whole week now.,False,14.8693,38.4741,72.5527,"Beat, beat, beat—that's all because my wife and I had a fight, and she's been staying at her mother's house for a week now.",False,6.1843,29.1259,66.8229
买了娃儿读书没得问题可以搞摘就整下一个摘橘子大渡口康田西塘观月咋个样圆圆老表山外青山楼外楼买了嘞些位置你愁不愁,"Once you buy it, kid's schooling is totally sorted, you can just lock it in! Alright, let's move to the next one! What about Kangtian Xitang Guanyue in Dadukou? My brother Yuanyuan! You know what they say: 'Beyond hills, more hills; beyond towers, more towers.' If you buy into thoses trap locations, you’re bound to get anxious!",咋个|老表,2,"If the kid's school situation is all sorted out, we can move on to the next big plan—picking oranges at Dadukou, Kangtian, Xitang, and Guanyue. How does that sound? ""Round Round"" cousin, ""Mountains beyond mountains, pavilions beyond pavilions."" With all these spots we've bought, are you feeling the pressure or what?",False,3.1338,33.6335,56.4583,"Once the kid's school situation is sorted, no problem — just move on to the next one. Picking oranges, Dukou, Kangtian Xitang, Guanyue — how about that? Round and round, cousin. Beyond the hills there are more hills, beyond the towers there are more towers. With all those places you've bought, are you worried or not?",False,7.5651,42.3088,61.1281
至于说为啥子后来这个两头王又成了夫妻肺片儿了,As for the reason why 'Liangtouwang' was eventually renamed to 'Couples' Lung Slices'...,啥子,1,As for why the 'Two Kings' later became 'Sliced Beef and Ox Tongue in Chili Sauce'.,False,5.7514,19.8992,49.1368,"As for why this ""double-headed king"" later became known as ""couple's lung slices"" (fuqi feipian),",False,3.823,23.0684,59.157
这种宽阔的改善房逐渐是安逸,This kind of spacious upgraded apartment are gradually becoming comfortable.,安逸,1,"Spacious, well-renovated apartments are becoming increasingly comfortable and desirable.",False,5.3002,48.218,80.9955,"This kind of spacious, upgraded home is gradually becoming quite comfortable and pleasant.",False,21.652,68.886,87.1826
安逸不只是我们都吃完了你才醒红烧也没吃成呀他不起来,"Isn't that nice? But you only woke up after we finished everything. If you hadn't stayed in bed, you would have gotten to try the stew.",安逸,1,"It's not just that you woke up only after we had all finished eating, you didn't even get to try the braised dish because he wouldn't get up.",False,8.541,39.5988,64.2505,The comfort doesn't just mean you wake up after we've all finished eating. We didn't even get to have the braised pork. And he won't get up.,False,3.6164,32.2576,60.5709
应该是本月本月才在维权维权还维的很凶你去详细了解一下行不行老表那种房子尽量不要去考虑,"It should be just this month, they just started a massive protest to defend their rights this month, and it's getting really ugly! Go look into the details, alright, my brother? You should stay as far away from that kind of property as possible!",老表,1,You should really look into it more carefully. The owner has been aggressively fighting for their rights this month. I'd suggest you avoid that kind of property if possible.,False,9.913,38.5732,69.0347,"It should be this month, just this month—they've been protesting, and protesting hard. Go look into the details, alright, bro? As for that kind of house, better not even consider it.",False,21.6503,43.219,70.6828
哦这是啥子黄辣根儿,"Oh, what is this? Horseradish?",啥子|哦(语气词),1,What on earth is this yellow horseradish?,False,12.2231,52.2431,68.6209,"Oh, what's this? Yellow chili root?",False,14.2588,36.4432,81.536
这个龟儿子到底是咋个来的呢据说哈他最早是出现在这个,"Where did the 'Gui Er Zi' come from? Word is, it first appeared...",咋个|龟儿子|哈(语气词),2,"The hell did this guy even come from? Word is, he first showed up at this...",False,29.9452,41.3525,55.9778,"Where the hell did this 'gui'er' come from? Supposedly, it first showed up around...",False,18.459,42.4077,62.5068
你说给人家感觉咋个解释啊,"Tell me, how is that gonna look to other people?",咋个,1,How would you explain that to make them feel good about it?,False,4.0654,18.9994,67.572,How do you explain the impression you give to others?,False,4.0696,23.1096,65.9357
在汴梁长期出丑的瓜娃子五代十国确实黑暗但是蜀地有点特殊,"That silly idiot kept making a fool of himself in Bianliang for a long time... The Five Dynasties and Ten Kingdoms period was indeed dark, but the Shu region (Sichuan) was a bit of a special case.",确实|瓜娃子,2,"A silly fool who keeps making a fool of himself in Bianjing. The Five Dynasties and Ten Kingdoms period was indeed dark, but Shu had its own special circumstances.",False,37.4701,59.5533,71.2495,"The clumsy fool who made a fool of himself in Bianliang for a long time—the Five Dynasties and Ten Kingdoms period was indeed dark, but the Shu region was somewhat special.",False,47.0863,69.2285,73.1554
哇看下嘞个米巴不巴适插两个洞洞,"Wow, check out this rice! Just poke two fingers in to feel the comfort.",巴适,1,"Wow, check out this neat little thing, isn't it nice with two holes?",False,22.5101,34.3383,53.9601,"Wow, check out this rice cake—isn't it perfect? Just poke two holes in it.",False,37.7093,53.6376,67.5491
然后周围很多地方就是脏兮兮的脏兮兮的烂渣渣的那种感觉包括每次如果说你开车走到那个啥子,"And the surrounding area is just so filthy and run-down, totally trashy vibe. Plus, every time you drive by that...",啥子,1,"And then a lot of the surrounding areas just have that grimy, trashy, run-down feeling. I'm talking about every time you're driving down that certain road...",False,7.6784,48.8173,81.6713,"And then a lot of the surrounding areas just feel all dirty, grimy, and rundown—like a total mess. Even when you're driving around, you know, heading somewhere or other, it’s the same kind of thing.",False,2.6118,36.5535,77.7268
那两个不说的天老两口的耶还给老子舔过了,"Those two are the worst. Heavens, they freaking licked it.",老子,1,Those two old geezers who never shut up even licked me off.,False,7.3471,27.7665,56.7271,"Those two damn old folks didn't say a word, and they even licked it for me, dammit.",False,6.2285,34.5545,66.998
被何探长否决或说你找个人来冒名顶替那个家伙不是炮哥进去以后大型以上肯定会拉稀摆带要不得要不得哎哎这个婆娘一个人喝醉有没有啥子哦哎我要出去看哈,"It was rejected by Detective He. He suggested that you find a scapegoat to take the fall. Once Brother Pao gets in and a major crisis hits, he’s bound to chicken out and snitch...no way, that absolutely won't work! Wait, wait... is that woman gonna be okay drinking by herself like that? Hey, I need to go out and check on her",婆娘|啥子|哈(语气词)|哦(语气词),2,"If Inspector He rejects it or tells you to find someone to impersonate that guy, it's a terrible idea. Once that guy gets inside, he'll definitely snitch and cause a lot of trouble. Absolutely not. Hey, what about that woman drinking alone? Is that okay? Hey, I'm going to go check it out.",False,3.8946,33.1746,66.466,"Being rejected by Detective He, or if you say you find someone to impersonate that guy—if it’s not Brother Pao who goes in, once things get serious, he’ll definitely chicken out and mess up. No way, no way. Hey hey, is this woman drinking alone okay? Hey, I’m gonna go check it out.",False,8.0386,38.7299,67.5805
应该安逸行慢慢的茶香啊这个是,"That sould be okay. Alright, the tea fragrant is so relaxing.",安逸,1,The slow-brewed tea is so fragrant and relaxing.,False,8.5625,35.5504,68.4467,"It should be that cozy, lingering tea fragrance, ah, this is it.",False,3.657,35.0276,60.0743
我二十多岁应该叫少妇噻是不是嘛所以说那个妇女节跟我有啥子关系嘛我明明就是个少妇,"I’m only in my twenties. Technically, I’m a 'milf-in-training' or a young bride, right? So why should I care about International Women's Day? I’m literally just a young wifey!",啥子|噻|嘛(语气词),1,"A woman in her twenties should be called a young wife, right? So what does Women's Day have to do with me? I'm clearly a young wife.",False,10.9212,34.4018,73.1486,"I'm in my twenties, so I should be called a ""young married woman,"" right? So, what does Women's Day have to do with me? I'm clearly a young married woman.",False,8.8362,32.1268,73.6365
我跟你爸说哈你豁老子我把我老爸子锁在屋头都锁了一个礼拜了,"I told your dad, you're lying to me. I've locked my father in the house for a week.",老子|哈(语气词),1,"I told your dad, you're really testing my patience. I've had my own father locked up in the house for a whole week now.",False,34.9714,62.8801,78.8058,I told your dad — you're lying to me. I've had my old man locked up in the house for a whole week already.,False,43.0397,68.6691,83.0104
都满足不了需求每一家都是排着非常长的长龙吃完那个安逸的老长沙口味虾,"Demand is through the roof. Every single restaurant has massive, never-ending lines. After finishing that incredibly satisfying, authentic Changsha spicy crayfish...",安逸,1,"None of them could meet the demand as every place had incredibly long lines. But after finally eating that satisfying, authentic old Changsha-style flavor crayfish, it was all worth it.",False,6.205,45.2729,72.5506,"Every shop has a line stretching way down the street — they just can't keep up with the demand. After devouring that satisfying old-school Changsha-style crawfish, it's pure bliss.",False,3.3789,34.5747,70.9396
相对而言有规律上班你到哪个时候该回去是咋个的,The work schedule is relatively regular. When it's time fo you to go...,咋个,1,"Compared to other jobs, working regular hours means you know exactly when you're supposed to go home.",False,5.0912,23.7147,72.2041,"Relatively speaking, with a regular work schedule, how do you figure out when it's time for you to go back home?",False,8.8999,58.2504,74.1525
要那个羊肚菌感受哇硬是今天给梦死去了的,The morel is exactly what I wanted. It feels like a dreamcome true today.,硬是,1,"The more I think about that morel, the more it feels like it was a dream come true today.",False,9.8461,55.7112,55.9395,Want that morel mushroom experience? It's really like a dream come true today!,False,7.3526,48.083,60.0051
好安逸啊那碗螺蛳粉我就问你们想不想吃啊,"That bowl of snail rice noodles is so delicious. I'm asaking you guys, do you want some?",安逸,1,"That bowl of luosifen looks so incredibly comforting. I'm just asking you all, doesn't it make you want to eat it?",False,9.6374,36.8768,68.1016,"How delightful that bowl of snail noodles is! I'm asking you all, don't you wanna eat it?",False,10.6573,46.1997,80.2261
这冒犯是啥子哦看到没有他这儿是六点十分开门还要开到凌晨四点钟开到二十四点,"What the heck is going on here? See that? It says they open at 6:10, and then they close at 4 in the morning?",啥子|哦(语气词),1,Can you believe this? They open at 6:10 AM and don't close until 4 AM the next day—that's 24 hours straight!,False,13.7284,28.9964,73.1399,"What the hell is this offense? Look, right here, it says it opens at 6:10 PM and stays open until 4:00 AM, running through midnight.",False,10.0156,30.066,68.1985
就是你们家的餐厅刚刚业主也在说因为家里面住的人确实太少了就只留了三把椅子原本那是一个不,"Speaking of the dining room, the owner said they only kept three chairs because their family is so small. Originally, it was not a...",确实,1,"Just now, the property owner was also mentioning that your family has so few people living there that they only left three chairs. Originally, it was a...",False,22.8984,46.3153,70.8603,"Just now, the owner of your family's restaurant was also saying that since there really aren't many people living in the house, they only kept three chairs. Originally, that spot wasn't even...",False,17.9296,48.6232,72.6398
哎呀给老子坐车不远啊你,"Oh, come on, just get in the damn car! It's far away!",老子,1,"Hey, it's not far for me to take the car and pick you up.",False,3.4586,17.8904,51.6858,"Oh man, it's not far for me to take the bus, you know.",False,3.657,18.42,53.5994
味道巴适做法简单美味不油腻可以多吃几碗饭,"The flavor is spot on, and it’s so easy to make. It's delicious but not heavy at all, making it the ultimate rice-killer!",巴适,1,"Tastes great, is easy to make, delicious and not greasy, makes you want to have extra bowls of rice.",False,6.9602,28.991,72.1424,"The flavor is spot on, the recipe is simple, delicious without being greasy, and you can easily have a few extra bowls of rice.",False,20.0365,37.4277,76.3703
好切好了我们拿去给炒嘎嘎了哈锅里面倒点油啊,"Alright, all chopped up! Now we're gonna throw it in the pan to cook up this meat! Let’s pour some oil into the wok.",嘎嘎|哈(语气词),1,"Alright, it's all chopped up. Let's take it to get stir-fried. Pour some oil in the wok first.",False,9.2943,39.6147,80.3547,"Alright, it's ready. Let's take it to fry the meat, okay? Pour some oil into the wok.",False,20.1641,36.6769,78.9066
比那肯定安逸些因为现象骨头都没见骨头是你来的,This is definitely better! Because you don't even see the bones yet. Bones are what you came for...,安逸,1,It's definitely more comfortable because I haven't even seen a bone yet. The bone is you coming.,False,4.4867,40.8399,64.5643,"Of course, that's definitely more comfortable than that one. There's basically no bone to be seen—the bone is something you brought with you.",False,2.2609,32.1308,68.8178
肯定不会是我好巴适哦真的是我哦,"Definitely not me. It's so comfortable... Oh, it's really me!",巴适|哦(语气词),1,"Definitely not me, it feels so good, and it's really me!",False,23.7345,52.7243,74.5062,"It definitely can't be me, so comfortable. Oh, it really is me.",False,17.9156,54.9338,73.6734
长身体的小朋友老人还有啥子做了手术的亲戚朋友,"Whether it’s growing kids, the elderly, or friends and relatives who just had surgery.",啥子,1,"Children who are still growing, the elderly, and relatives and friends who have had surgery.",False,23.2879,56.4764,77.1305,"Growing kids, elderly folks, and any friends or relatives who've had surgery.",False,13.1108,53.9104,76.441
走过路过千万不要错过今天用一条草鱼来做一个江湖汗蒸鱼这个味道巴适我来操作你来评说将草鱼从背部改刀清洗干净之后哈我们在背面跟他打上花刀方便入味儿,"Step right up, don't miss out! Today, we’re using a grass carp to make a 'Jianghu-Style Steamed Fish.' The flavor is absolutely heavenly! I’ll do the cooking, and you be the judge. First, butterfly the carp from the back, wash it thoroughly, and then score the back with diamond cuts so the flavors can sink right in!",巴适|哈(语气词),1,"Don't miss out today as I make a ""Jianghu Steamed Fish"" with a grass carp. This is going to be delicious! I'll do the cooking, and you be the judge. First, I'll score the cleaned grass carp along its back to help it absorb all the flavors.",False,22.5709,42.4209,69.7068,"Don't let this slip by! Today, I'm making a riverside steamed fish with a grass carp—trust me, it's legit. I'll handle the cooking, you handle the judging. After cleaning the fish and scoring its back, we'll cut crisscross patterns on it to let the flavor soak in.",False,5.0209,32.3892,66.6516
等通知重点是啥子呢还没有过你说嘛搞那么复杂做啥子嘛,Just waiting for the notice? Wat is even the point here? It hasn't even cleared yet! Why are you making it so damn complicated?,啥子|嘛(语气词),1,"The main point is that we haven't heard back yet, so why make it so complicated?",False,4.0087,26.6945,72.1276,"Wait for the notice. What's the main point? It hasn't passed yet. Just tell me, why make it so complicated?",False,11.4388,41.3676,74.6469
好吃安逸巴适牛肉今天是烧耙了的因为刘德,So delicious and satisfying! The beef is incredibly tender today because of Liu De.,安逸|巴适,2,The beef was so delicious and satisfying today because it was cooked just right by Liu De.,False,16.9065,58.2496,73.0339,"The beef is absolutely delicious, tender, and satisfying—today it's been slow-cooked until soft, thanks to Liu De.",False,12.5822,49.9263,70.6949
很巴适的第六个菜就是个水煮雪花牛肉,"The sixth dish, which is so delicious, is Poached Marbled Beef in Hot Chili Oil.",巴适,1,The sixth dish was a wonderfully satisfying boiled snow beef.,False,7.9335,25.92,69.8498,"The sixth dish, which is very satisfying, is just boiled snowflake beef.",False,30.7043,38.0067,71.5452
遇到你那么个猪队友下回做活路哪个龟儿子再喊你,"I can't believe I got stuck with a trash teammate like you! Next time we have a job to do, I'll be damned if anyone ever calls you again!",龟儿子,1,"I'm not working with another useless teammate like you again—next time anyone asks, I'm out.",False,4.3539,34.617,63.0971,"Running into a teammate as useless as you—next time we’re working, who the hell would even call you?",False,1.5712,25.3429,53.1462
不晓得为啥子可能是直觉吧我总觉得那个宋玉德有问题曲珍拿起笔记本对吴东国说,"I don't know, maybe it's intuition. I always thought Song Yude was suspicious."" Qu Zhen turned to Wu Dongguo with her notebook and said.",啥子,1,"I don't know why, maybe it's just intuition, but I have a feeling that Song Yude is shady. Qu Zhen picked up her notebook and said to Wu Dongguo.",False,18.5186,56.0414,79.3222,"""I don't know why, maybe it's just intuition, but I always feel that Song Yude has a problem."" Qu Zhen picked up the notebook and said to Wu Dongguo.",False,19.2232,58.0183,79.082
你硬是看到火就发红了这个找人家见面第一句话打招呼是,"You really rush in the second you see a spark. So, what's supposed to be the very first icebreaker when you two actually meet? ",硬是,1,"You really jump straight to the point, don't you? The very first thing you say when meeting someone is...",False,5.1683,29.6396,57.1467,"You really get all fired up the moment you see a spark, huh? And that opening line when meeting someone for the first time—what's the greeting?",False,11.3919,34.1107,71.7924
还是白漉漉的自己肯定安逸我还是不要把尾巴甩了我想办法把那个小吃,"It looks so perfectly pale and juicy, it's gonna taste amazing for myself! I shouldn't spoil my appetite though. I need figure a way out for the snack...",安逸,1,It's probably better to just do it myself. I'll figure out a way to get that snack.,False,3.092,20.3234,55.0567,Still being clean and carefree myself is definitely comfortable. I'd better not show off or act cocky. I'll try to get that snack somehow.,False,1.676,22.8779,58.9461
这个水还是多安逸的,This water is still very comfy.,安逸,1,This water feels so nice and comfortable.,False,12.2231,37.5983,86.8679,This water is quite comfortable.,False,27.4825,45.5931,91.5576
